A,B,C,D,E
7.599672E-01, 3.678071E+04,-1.284157E-01,-3.814879E-05, 2.250000E+00
7.551421E-01, 3.694738E+04,-1.284211E-01,-3.808734E-05, 2.260000E+00
7.502611E-01, 3.711405E+04,-1.284264E-01,-3.812873E-05, 2.270000E+00
7.453255E-01, 3.728071E+04,-1.284316E-01,-3.825122E-05, 2.280000E+00
7.403368E-01, 3.744738E+04,-1.284367E-01,-3.843253E-05, 2.290000E+00
7.352963E-01, 3.761405E+04,-1.284417E-01,-3.865027E-05, 2.300000E+00
7.302053E-01, 3.778071E+04,-1.284465E-01,-3.888226E-05, 2.310000E+00
7.250654E-01, 3.794738E+04,-1.284511E-01,-3.910687E-05, 2.320000E+00
7.198779E-01, 3.811405E+04,-1.284555E-01,-3.930336E-05, 2.330000E+00
7.146442E-01, 3.828071E+04,-1.284598E-01,-3.945217E-05, 2.340000E+00
7.093658E-01, 3.844738E+04,-1.284638E-01,-3.953514E-05, 2.350000E+00
7.040440E-01, 3.861404E+04,-1.284676E-01,-3.953579E-05, 2.360000E+00
6.986804E-01, 3.878071E+04,-1.284712E-01,-3.943952E-05, 2.370000E+00
6.932762E-01, 3.894738E+04,-1.284745E-01,-3.923370E-05, 2.380000E+00
6.878330E-01, 3.911404E+04,-1.284775E-01,-3.890786E-05, 2.390000E+00
6.823523E-01, 3.928071E+04,-1.284803E-01,-3.845374E-05, 2.400000E+00
6.768354E-01, 3.944738E+04,-1.284827E-01,-3.786534E-05, 2.410000E+00
6.712838E-01, 3.961404E+04,-1.284849E-01,-3.713893E-05, 2.420000E+00
6.656989E-01, 3.978071E+04,-1.284868E-01,-3.627303E-05, 2.430000E+00
6.600823E-01, 3.994738E+04,-1.284884E-01,-3.526831E-05, 2.440000E+00
6.544353E-01, 4.011404E+04,-1.284897E-01,-3.412755E-05, 2.450000E+00
6.487594E-01, 4.028071E+04,-1.284907E-01,-3.285549E-05, 2.460000E+00
6.430560E-01, 4.044738E+04,-1.284914E-01,-3.145865E-05, 2.470000E+00
6.373267E-01, 4.061404E+04,-1.284918E-01,-2.994523E-05, 2.480000E+00
6.315729E-01, 4.078071E+04,-1.284919E-01,-2.832487E-05, 2.490000E+00
6.257960E-01, 4.094738E+04,-1.284917E-01,-2.660844E-05, 2.500000E+00
6.199975E-01, 4.111404E+04,-1.284912E-01,-2.480786E-05, 2.510000E+00
6.141789E-01, 4.128071E+04,-1.284905E-01,-2.293586E-05, 2.520000E+00
6.083416E-01, 4.144738E+04,-1.284894E-01,-2.100573E-05, 2.530000E+00
6.024872E-01, 4.161404E+04,-1.284881E-01,-1.903110E-05, 2.540000E+00
5.966170E-01, 4.178071E+04,-1.284865E-01,-1.702577E-05, 2.550000E+00
5.907325E-01, 4.194738E+04,-1.284847E-01,-1.500339E-05, 2.560000E+00
5.848353E-01, 4.211404E+04,-1.284827E-01,-1.297734E-05, 2.570000E+00
5.789268E-01, 4.228071E+04,-1.284804E-01,-1.096050E-05, 2.580000E+00
5.730085E-01, 4.244737E+04,-1.284779E-01,-8.965076E-06, 2.590000E+00
5.670819E-01, 4.261404E+04,-1.284752E-01,-7.002416E-06, 2.600000E+00
5.611484E-01, 4.278071E+04,-1.284723E-01, 0.000000E+00, 2.610000E+00
5.552096E-01, 4.294737E+04,-1.284693E-01, 0.000000E+00, 2.620000E+00
5.492669E-01, 4.311404E+04,-1.284661E-01, 0.000000E+00, 2.630000E+00
5.433218E-01, 4.328071E+04,-1.284627E-01, 0.000000E+00, 2.640000E+00
5.373759E-01, 4.344737E+04,-1.284593E-01, 0.000000E+00, 2.650000E+00
5.314306E-01, 4.361404E+04,-1.284557E-01, 0.000000E+00, 2.660000E+00
5.254874E-01, 4.378071E+04,-1.284520E-01, 0.000000E+00, 2.670000E+00
5.195479E-01, 4.394737E+04,-1.284482E-01, 6.525157E-06, 2.680000E+00
5.136135E-01, 4.411404E+04,-1.284444E-01, 7.873708E-06, 2.690000E+00
5.076858E-01, 4.428071E+04,-1.284406E-01, 9.142644E-06, 2.700000E+00
5.017662E-01, 4.444737E+04,-1.284367E-01, 1.033443E-05, 2.710000E+00
4.958564E-01, 4.461404E+04,-1.284328E-01, 1.145265E-05, 2.720000E+00
4.899578E-01, 4.478071E+04,-1.284289E-01, 1.250190E-05, 2.730000E+00
4.840719E-01, 4.494737E+04,-1.284250E-01, 1.348769E-05, 2.740000E+00
4.782003E-01, 4.511404E+04,-1.284212E-01, 1.441632E-05, 2.750000E+00
4.723444E-01, 4.528071E+04,-1.284174E-01, 1.529470E-05, 2.760000E+00
4.665059E-01, 4.544737E+04,-1.284137E-01, 1.613031E-05, 2.770000E+00
4.606862E-01, 4.561404E+04,-1.284101E-01, 1.693098E-05, 2.780000E+00
4.548869E-01, 4.578071E+04,-1.284066E-01, 1.770478E-05, 2.790000E+00
4.491094E-01, 4.594737E+04,-1.284031E-01, 1.845989E-05, 2.800000E+00
4.433554E-01, 4.611404E+04,-1.283998E-01, 1.920446E-05, 2.810000E+00
4.376264E-01, 4.628071E+04,-1.283967E-01, 1.994649E-05, 2.820000E+00
4.319238E-01, 4.644737E+04,-1.283936E-01, 2.069371E-05, 2.830000E+00
4.262492E-01, 4.661404E+04,-1.283908E-01, 2.145343E-05, 2.840000E+00
4.206042E-01, 4.678070E+04,-1.283881E-01, 2.223252E-05, 2.850000E+00
4.149902E-01, 4.694737E+04,-1.283855E-01, 2.303723E-05, 2.860000E+00
4.094089E-01, 4.711404E+04,-1.283832E-01, 2.387321E-05, 2.870000E+00
4.038616E-01, 4.728070E+04,-1.283810E-01, 2.474533E-05, 2.880000E+00
3.983501E-01, 4.744737E+04,-1.283791E-01, 2.565776E-05, 2.890000E+00
3.928756E-01, 4.761404E+04,-1.283773E-01, 2.661383E-05, 2.900000E+00
3.874399E-01, 4.778070E+04,-1.283757E-01, 2.761606E-05, 2.910000E+00
3.820444E-01, 4.794737E+04,-1.283744E-01, 2.866615E-05, 2.920000E+00
3.766906E-01, 4.811404E+04,-1.283733E-01, 2.976495E-05, 2.930000E+00
3.713801E-01, 4.828070E+04,-1.283723E-01, 3.091252E-05, 2.940000E+00
3.661143E-01, 4.844737E+04,-1.283716E-01, 3.210816E-05, 2.950000E+00
3.608948E-01, 4.861404E+04,-1.283711E-01, 3.335040E-05, 2.960000E+00
3.557231E-01, 4.878070E+04,-1.283708E-01, 3.463712E-05, 2.970000E+00
3.506007E-01, 4.894737E+04,-1.283708E-01, 3.596554E-05, 2.980000E+00
3.455291E-01, 4.911404E+04,-1.283709E-01, 3.733235E-05, 2.990000E+00
3.405098E-01, 4.928070E+04,-1.283713E-01, 3.873373E-05, 3.000000E+00
3.355444E-01, 4.944737E+04,-1.283718E-01, 4.016547E-05, 3.010000E+00
3.306342E-01, 4.961404E+04,-1.283726E-01, 4.162303E-05, 3.020000E+00
3.257809E-01, 4.978070E+04,-1.283735E-01, 4.310162E-05, 3.030000E+00
3.209858E-01, 4.994737E+04,-1.283746E-01, 4.459629E-05, 3.040000E+00
3.162506E-01, 5.011404E+04,-1.283759E-01, 4.610202E-05, 3.050000E+00
3.115766E-01, 5.028070E+04,-1.283774E-01, 4.761379E-05, 3.060000E+00
3.069655E-01, 5.044737E+04,-1.283790E-01, 4.912666E-05, 3.070000E+00
3.024186E-01, 5.061404E+04,-1.283808E-01, 5.063585E-05, 3.080000E+00
2.979374E-01, 5.078070E+04,-1.283827E-01, 5.213553E-05, 3.090000E+00
2.935225E-01, 5.094737E+04,-1.283847E-01, 5.360987E-05, 3.100000E+00
2.892075E-01, 5.111404E+04,-1.283869E-01, 5.552273E-05, 3.110000E+00
2.851061E-01, 5.128070E+04,-1.283892E-01, 5.936901E-05, 3.120000E+00
