A,B
2.404364E+02,-1.248177E+01
2.404606E+02,-1.250710E+01
2.404835E+02,-1.252312E+01
2.405043E+02,-1.252983E+01
2.405226E+02,-1.252724E+01
2.405380E+02,-1.251537E+01
2.405501E+02,-1.249424E+01
2.405592E+02,-1.246392E+01
2.405654E+02,-1.242444E+01
2.405692E+02,-1.237591E+01
2.405709E+02,-1.231839E+01
2.405710E+02,-1.225202E+01
2.405699E+02,-1.217691E+01
2.405675E+02,-1.209324E+01
2.405637E+02,-1.200116E+01
2.405584E+02,-1.190087E+01
2.405514E+02,-1.179261E+01
2.405429E+02,-1.167660E+01
2.405327E+02,-1.155311E+01
2.405210E+02,-1.142244E+01
2.405079E+02,-1.128487E+01
2.404934E+02,-1.114067E+01
2.404777E+02,-1.099014E+01
2.404611E+02,-1.083362E+01
2.404439E+02,-1.067147E+01
2.404263E+02,-1.050409E+01
2.404088E+02,-1.033191E+01
2.403918E+02,-1.015537E+01
2.403756E+02,-9.974972E+00
2.403607E+02,-9.791209E+00
2.403474E+02,-9.604613E+00
2.403362E+02,-9.415704E+00
2.403276E+02,-9.224924E+00
2.403218E+02,-9.032721E+00
2.403192E+02,-8.839529E+00
2.403198E+02,-8.645772E+00
2.403237E+02,-8.451856E+00
2.403309E+02,-8.258168E+00
2.403413E+02,-8.065079E+00
2.403545E+02,-7.872936E+00
2.403699E+02,-7.682064E+00
2.403870E+02,-7.492766E+00
2.404050E+02,-7.305321E+00
2.404232E+02,-7.119986E+00
2.404407E+02,-6.936994E+00
2.404568E+02,-6.756560E+00
2.404707E+02,-6.578874E+00
2.404818E+02,-6.404112E+00
2.404898E+02,-6.232428E+00
2.404945E+02,-6.063961E+00
2.404959E+02,-5.898835E+00
2.404940E+02,-5.737159E+00
2.404891E+02,-5.579026E+00
2.404818E+02,-5.424509E+00
2.404725E+02,-5.273662E+00
2.404620E+02,-5.126526E+00
2.404510E+02,-4.983125E+00
2.404402E+02,-4.843469E+00
2.404304E+02,-4.707551E+00
2.404223E+02,-4.575355E+00
2.404164E+02,-4.446846E+00
2.404132E+02,-4.321982E+00
2.404129E+02,-4.200707E+00
2.404157E+02,-4.082954E+00
2.404214E+02,-3.968650E+00
2.404298E+02,-3.857710E+00
2.404403E+02,-3.750046E+00
2.404524E+02,-3.645564E+00
2.404656E+02,-3.544164E+00
2.404791E+02,-3.445745E+00
