A,B,C,D,E
-1.336082E-06,3.418908E+04,-1.241591E-01,0.000000E+00,2.130000E+00
-1.323436E-06,3.435297E+04,-1.241634E-01,0.000000E+00,2.140000E+00
-1.310566E-06,3.451686E+04,-1.241678E-01,0.000000E+00,2.150000E+00
-1.297449E-06,3.468075E+04,-1.241724E-01,0.000000E+00,2.160000E+00
-1.284120E-06,3.484463E+04,-1.241772E-01,0.000000E+00,2.170000E+00
-1.270559E-06,3.500852E+04,-1.241820E-01,0.000000E+00,2.180000E+00
-1.256802E-06,3.517241E+04,-1.241870E-01,0.000000E+00,2.190000E+00
-1.242824E-06,3.533630E+04,-1.241921E-01,0.000000E+00,2.200000E+00
-1.228665E-06,3.550019E+04,-1.241971E-01,0.000000E+00,2.210000E+00
-1.214299E-06,3.566408E+04,-1.242023E-01,0.000000E+00,2.220000E+00
-1.199764E-06,3.582797E+04,-1.242074E-01,0.000000E+00,2.230000E+00
-1.185037E-06,3.599186E+04,-1.242125E-01,0.000000E+00,2.240000E+00
-1.170156E-06,3.615574E+04,-1.242176E-01,0.000000E+00,2.250000E+00
-1.155094E-06,3.631963E+04,-1.242226E-01,0.000000E+00,2.260000E+00
-1.139893E-06,3.648352E+04,-1.242276E-01,0.000000E+00,2.270000E+00
-1.124525E-06,3.664741E+04,-1.242324E-01,0.000000E+00,2.280000E+00
-1.109029E-06,3.681130E+04,-1.242372E-01,0.000000E+00,2.290000E+00
-1.093378E-06,3.697519E+04,-1.242418E-01,0.000000E+00,2.300000E+00
-1.077614E-06,3.713908E+04,-1.242463E-01,0.000000E+00,2.310000E+00
-1.061707E-06,3.730297E+04,-1.242506E-01,0.000000E+00,2.320000E+00
-1.045701E-06,3.746686E+04,-1.242547E-01,0.000000E+00,2.330000E+00
-1.029564E-06,3.763074E+04,-1.242586E-01,0.000000E+00,2.340000E+00
-1.013340E-06,3.779463E+04,-1.242624E-01,0.000000E+00,2.350000E+00
-9.969964E-07,3.795852E+04,-1.242659E-01,0.000000E+00,2.360000E+00
-9.805789E-07,3.812241E+04,-1.242691E-01,0.000000E+00,2.370000E+00
-9.640525E-07,3.828630E+04,-1.242722E-01,0.000000E+00,2.380000E+00
-9.474646E-07,3.845019E+04,-1.242749E-01,0.000000E+00,2.390000E+00
-9.307789E-07,3.861408E+04,-1.242774E-01,0.000000E+00,2.400000E+00
-9.140443E-07,3.877797E+04,-1.242797E-01,0.000000E+00,2.410000E+00
-8.972229E-07,3.894185E+04,-1.242817E-01,0.000000E+00,2.420000E+00
-8.803650E-07,3.910574E+04,-1.242834E-01,0.000000E+00,2.430000E+00
-8.634307E-07,3.926963E+04,-1.242848E-01,0.000000E+00,2.440000E+00
-8.464716E-07,3.943352E+04,-1.242859E-01,0.000000E+00,2.450000E+00
-8.294470E-07,3.959741E+04,-1.242868E-01,0.000000E+00,2.460000E+00
-8.124100E-07,3.976130E+04,-1.242874E-01,0.000000E+00,2.470000E+00
-7.953167E-07,3.992519E+04,-1.242877E-01,0.000000E+00,2.480000E+00
-7.782217E-07,4.008908E+04,-1.242877E-01,0.000000E+00,2.490000E+00
-7.610807E-07,4.025297E+04,-1.242874E-01,0.000000E+00,2.500000E+00
-7.439507E-07,4.041685E+04,-1.242869E-01,0.000000E+00,2.510000E+00
